Michael Beasley,PF,27,sprained left foot,1,11,235,Average Weight,205.74,Average,10,17.4,3.3,6,1.1,1.4,0.9,3.7,1.1,0.3,0.6,1.9,1.9,8,5.8,12,18.1,4.1,7.8,2.2,2.5,0.3,2.8,1.6,0.9,0.7,1.2,2.1,10.7,8.3,16.51,Overperformed
Patrick Patterson,PF,27,strained left knee,1,10,235,Average Weight,203.2,Average,7,27.6,2.2,6.3,0.2,0.6,1.5,3.5,1.4,0.5,0.4,0.9,1.7,6,4.9,6.39,23.2,2.4,5.1,0.6,1.1,1,4,1,0.3,0.6,0.8,1.8,6.7,5.7,8.84,Overperformed
Ricky Rubio,PG,27,sore left hip,1,12,190,Average Weight,187.96,Average,5,30.5,5.7,11.9,3.7,4.4,0.8,4.4,7.1,1.2,0,2.8,2.9,16.1,14.4,17,30.4,4.4,11.7,3.1,3.8,0.9,4.9,6.2,1.2,0.1,2.5,3.3,12.7,9.9,11.72,Underperformed
Darrell Arthur,PF,28,sore knee,1,10,235,Average Weight,205.74,Average,5,23.9,3.7,9.6,0.9,1.3,1.6,3.9,1.4,0.5,1,1.6,2.5,9.1,5.9,8.89,17.2,2,4.5,0.2,0.2,0.4,1.9,1.1,0.2,0.3,1.2,2.1,5.3,2.9,6.07,Underperformed
Jerryd Bayless,PG,28,sore left wrist,1,26,200,Average Weight,190.5,Average,8,29.4,3.2,7.4,1,1.4,0.3,2,2.2,1.1,0.2,0.9,1.8,9,7.2,8.82,23.8,3.7,10.7,3,3.3,1,3,4.3,0,0,3,1.6,10.9,6,9.08,Equal
C.J. Miles,SF,29,sore knee,1,7,220,Average Weight,198.12,Average,8,24.3,4.8,9.8,1.1,1.3,0.3,1.7,0.8,0.6,0.4,0.7,2.2,13.6,9.3,13.78,25.6,5.1,10.1,1.7,1.9,0.5,2.7,0.9,1,0.6,0.6,2.2,14.1,10.9,15.33,Overperformed
E'Twaun Moore,SG,29,lower leg injury,1,6,191,Underweight,190.5,Underaverage,5,27,4.2,10.6,1,1.3,1,1.6,2,0.9,0,1.5,2.4,10.2,5.6,7.47,30.7,4.3,10.2,0.5,0.5,0.5,1.8,2.2,1,0.1,0.7,2.1,10.6,7.1,8.33,Equal
Greivis Vasquez,PG,29,sore right ankle,1,5,217,Overweight,198.12,Overaverage,5,14.2,1.1,3.9,0.1,0.2,0.1,1.3,3,0.3,0,1.4,1.5,3,1.6,4.06,12.9,0.7,2.7,0.7,1,0,0.7,1.7,0.3,0.3,0.3,2,2.1,1.4,3.91,Equal
Paul George,SF,29,strained left hamstring,1,3,220,Average Weight,203.2,Overaverage,11,25.2,5.6,13.5,2.8,3.3,0.4,6.1,4.5,0.9,0.8,2.3,2.5,16,12.4,17.71,26.9,5.7,12.5,1.8,2.7,0.8,3.7,3.5,1.2,0.2,1.2,2.2,15.1,12.4,16.59,Equal
Chandler Parsons,SF,30,sore right knee,1,73,230,Overweight,208.28,Overaverage,10,15.4,2.3,5.7,0,0,0.3,1,0.7,0.3,0.3,0.7,2.3,5.8,2.6,6.08,17.7,1.3,5.7,0.5,0.7,0,3,1.3,0.8,0.2,1,1.7,3.8,1.5,3.05,Underperformed
Derrick Rose,PG,30,sore right ankle,1,7,200,Average Weight,190.5,Average,19,24.2,6,13.6,3.1,3.4,0.6,2,4.4,0.3,0.1,1.1,0.6,15.5,11.6,17.26,24.1,7.1,14.9,3.4,4,0.6,2.3,3.4,0.6,0.3,1.7,1,17.3,12.2,18.22,Equal
Nikola Pekovic,C,30,sore right ankle,1,369,307,Overweight,210.82,Average,15,9,1.6,4.2,1.3,1.7,0.6,1.2,0.9,0.1,0,0.8,1.9,4.3,2.1,8.4,7.1,1.5,4.2,1,1.4,0.7,1,0.8,0.1,0,0.5,1.6,3.7,1.8,9.13,Equal
Courtney Lee,SG,31,sore right wrist,1,5,215,Average Weight,195.58,Average,6,32.6,4,8.3,1.1,1.4,0.8,2.2,1.8,0.8,0.4,0.6,2.2,10.7,8.7,9.61,30.4,3.3,8.1,0.7,0.8,0.8,2,2.3,0.7,0.3,0.6,1,8.3,6.7,7.93,Underperformed
Goran Dragic,PG,31,bruised left knee,1,5,190,Average Weight,193.04,Overaverage,5,35.5,8,17.7,3.1,4.1,0.6,4.3,6.6,0.6,0.3,2.9,2.8,20.1,14.4,14.6,30.7,6.7,14.8,2.9,3.7,0.7,2.3,4.1,0.9,0.2,1.7,2.6,17,12,14.07,Equal
Paul Millsap,PF,31,sore left hip,1,2,257,Overweight,200.66,Underaverage,4,32.3,5.7,12.8,2.2,2.8,1.8,6.2,2.9,1.3,1,1.9,2.6,14.3,12.1,13.49,34.7,6.9,14.3,4.4,5.7,1.4,6.7,3.7,1.7,1,1.8,2.8,18.4,16.7,17.33,Overperformed
Tiago Splitter,C,31,strained right calf,1,10,245,Average Weight,210.82,Average,15,16.3,2.4,4.1,1.3,1.7,1,2.7,0.8,0.3,0.3,0.7,1.9,6.1,5.5,12.15,7.8,1.3,2.7,1.1,1.3,0.7,1.7,0.6,0,0.1,0.7,0.7,3.7,2.9,13.38,Equal
Aaron Brooks,PG,32,sore knee,1,3,161,Underweight,182.88,Underaverage,5,14.6,2.5,4.9,0.1,0.5,0.3,0.7,2.2,0.5,0.1,0.9,1.3,6,4.8,11.84,9.5,0.8,3.1,0.1,0.1,0.1,0.8,0.8,0,0,0.4,1,2,0.2,0.76,Underperformed
Aron Baynes,C,32,bruised right hip,1,20,260,Average Weight,208.28,Average,18,24.9,5.6,10.1,2.1,3,1.4,4.2,3.1,0.4,0.9,1.1,3.9,15.1,13.4,19.37,23.6,4.6,9.6,0.8,1,1.4,3.9,1.2,0.1,0.6,1.5,3.8,10.7,6.4,9.76,Underperformed
Deron Williams,PG,32,sprained left big toe,1,17,200,Average Weight,190.5,Average,13,29.7,5.2,10.7,0.8,1.6,0.5,3.2,8,0.4,0,2.4,2.3,12.1,11,13.33,20.8,2.4,6,0.9,0.9,0,1.8,4.1,0.7,0.2,1.4,1.7,6.5,5.4,9.35,Underperformed
George Hill,PG,32,strained left groin,1,13,188,Average Weight,193.04,Overaverage,14,18.6,2.1,5.3,0.9,0.9,0.5,2.1,2.1,0.9,0.3,0.8,0.5,6.1,5.8,11.23,20.2,3.7,7.3,1.6,1.8,0.7,1.8,2,0.7,0.1,0.7,1.7,9.5,7.8,13.9,Overperformed
Jose Barea ,PG,32,sore elbow,1,2,180,Underweight,177.8,Underaverage,5,33.1,7.3,15,1.2,1.6,0.6,2.5,5.1,0.7,0,1.9,1.5,18,13.5,14.68,28.3,5.6,13.2,2.7,2.8,0.4,3,5.3,0.7,0.1,1.8,0.8,15.7,12.3,15.65,Equal
Tony Parker,PG,34,sore right knee,1,8,185,Underweight,187.96,Average,19,26.2,3.7,8.4,1.9,2.3,0.2,1.8,4.6,0.4,0.1,1.2,1.9,9.4,7.6,10.44,25.2,5.4,11.4,0.7,1.1,0.3,1.6,4.5,0.4,0,1.8,1.8,10,6.1,9.1,Equal
Zach Randolph,PF,35,sore left foot,1,2,250,Overweight,205.74,Average,4,27.9,6.8,13.3,2.3,3.2,2.2,6.3,1.7,0.5,0.1,1.6,2.8,16.3,12.5,16.13,24.1,6.1,12.4,2.9,4,3.5,5.1,1.2,0.5,0.2,1.5,1.6,12.3,9.8,14.64,Underperformed
Kevin Porter Jr.,SF,20,sprained left knee,2,21,203,Underweight,193.04,Underaverage,0,23.8,4.5,9.5,1.6,2.1,0.3,3,2.2,0.8,0.1,2,3.1,11.5,7.1,10.74,23.7,4.7,9.7,1.7,2.5,0.5,1.9,2,1,0.4,2.5,3.2,12.1,7.3,11.09,Equal
Lonnie Walker IV,SG,20,right knee injury,2,41,204,Underweight,193.04,Average,0,5.9,1.2,2.4,0.4,0.6,0,0.6,0.7,0.4,0.2,0,0.7,3.1,2.9,17.69,4.2,0.6,1.6,0,0,0,0.4,1,0,0,0,0,2.2,2.1,18,Equal
Wendell Carter Jr.,C,20,sprained left thumb,2,283,270,Overweight,208.28,Average,0,27.1,4.3,8.2,1.8,2,2.5,5.5,1.4,0.8,0.9,1.4,3,10.3,9.6,12.75,26.9,5,8.6,2.7,4.1,3,6.5,0.8,0.3,1.2,1.6,4.2,12,11,14.72,Overperformed
Zhaire Smith,SG,20,left foot injury,2,147,205,Average Weight,190.5,Underaverage,0,18.4,2.3,6.8,1,1.3,3,1.7,1.7,0.3,0.3,1.3,1.9,6.1,4.6,9,4.6,0.4,1.6,0.3,0.6,0,0.3,0.3,0.4,0,0.3,0.6,1,0.3,2.35,Underperformed
Zion Williamson,PF,20,sprained left ankle,2,3,284,Overweight,198.12,Underaverage,1,26.9,7.8,13.5,3.8,5.1,3.3,4.3,2,0.8,0.4,2.9,1.9,18.1,14.7,19.67,31.4,10.6,17.8,7.3,10.8,3,3.3,2.4,1.1,0.4,2.5,1.9,25.8,21.9,25.11,Overperformed
Derrick Jones Jr.,PF,21,bruised bone in right knee,2,24,210,Underweight,198.12,Underaverage,8,18.9,3.6,6.7,1.3,2.1,1.2,2.9,0.4,0.9,0.5,0.8,1.8,9,7.8,14.86,20.7,2.6,5.1,0.9,1.5,1.5,1.7,0.9,0.6,0.7,1.3,2.4,6.2,4.9,8.52,Underperformed
Emmanuel Mudiay,PG,21,right ankle injury,2,30,200,Average Weight,190.5,Average,6,18,2.8,7.6,0.9,0.9,0.2,1.8,3,0.6,0,1.7,0.7,7.7,4.9,9.8,13,2.8,6.9,0.8,0.9,0.3,1.4,2.6,0.4,0.1,0.9,0.8,6.7,4.7,13.02,Overperformed
Justise Winslow,SF,21,strained left knee,2,30,222,Average Weight,198.12,Average,1,20.8,2.3,5.7,0.5,0.8,0.8,4.4,2.4,0.3,0.4,1.2,1.4,6.1,5.5,9.52,24.6,2.2,5.2,0.9,1.4,0.6,4.3,2.5,0.4,0.7,1.3,2.7,6,5.4,8.13,Equal
Marquese Chriss,PF,21,sprained left ankle,2,12,240,Average Weight,205.74,Average,4,20.6,4.3,9,1,1.5,1.7,3.7,0.8,0.8,0.2,1,3.5,11.1,8.1,14.16,7.7,0.5,2,0.7,0.7,0.7,2.2,0.5,0.2,0.3,1.2,1.3,1.6,0.6,2.81,Underperformed
Michael Porter Jr.,SF,21,right ankle injury,2,18,218,Average Weight,208.28,Overaverage,2,24.9,5.3,11,1.9,2.2,1.9,7.1,1.6,1.3,0.7,0.7,2.4,14.4,13.7,19.81,13.9,2.4,5.8,0.3,0.5,1.1,1.8,2,0.9,0.5,0.8,1.1,11,10.7,18.98,Equal
P.J. Washington,PF,21,fractured finger,2,13,230,Average Weight,200.66,Underaverage,0,32.2,5.2,11,2.7,3.6,0.9,4.5,2.2,0.7,1,1.7,3.2,14.1,10.8,12.07,33.1,4.8,10.6,1.7,2.7,0.6,5.7,2.6,0.7,0.9,2.1,2.7,11.9,8.9,9.68,Underperformed
Trae Young,PG,21,sprained right ankle,2,5,164,Underweight,185.42,Underaverage,1,35.6,8.9,21.9,6.8,8.2,0.6,4.3,8.1,1,0.1,4,2.6,27,19.2,19.42,35.6,9.2,20.5,9.1,11,0.9,3.6,10.4,0.7,0.3,4.7,1.8,30.1,24.7,24.98,Overperformed
Thomas Bryant,C,22,right foot injury,2,31,248,Average Weight,208.28,Average,7,27,5.5,9.6,1.9,2.8,2.4,5.2,2.8,0.2,0.6,1.4,2.5,13,12.3,16.4,19.8,4.7,7,1.2,1.6,1.6,3.9,1.3,0.2,0.6,1.7,1.9,10.8,9.3,16.91,Equal
Grayson Allen,SG,23,sprained right ankle,2,28,198,Underweight,193.04,Average,0,11.2,1.5,3.6,1.3,1.6,0,0.3,0.4,0,0,0.4,1.4,5,2.6,8.36,12.8,1.6,5.3,0.6,0.6,0,0.5,1.1,0.5,0.4,0.6,0.9,4.8,2.5,7.03,Equal
Josh Hart,SG,23,right knee tendinitis,2,34,215,Average Weight,193.04,Average,3,20,2.8,7,1,1.4,0.4,2.4,1,0.6,0.6,0.2,1.4,7.7,6,10.8,18.2,1.5,4,0,0,0,3,2,1.5,0,1,0.5,5,5.4,10.68,Equal
Karl-Anthony Towns,C,23,right knee inflammation,2,196,248,Average Weight,213.36,Overaverage,2,32.9,8.2,16.8,5.7,6.8,3.3,10.4,3.8,0.8,1.1,4.9,3.6,22.9,18.2,19.91,32.8,9,17.7,5.1,6.9,2.7,9.1,4.1,1.3,1.1,3,3.6,25.8,22.9,25.13,Overperformed
